dataset,document,expected_label,model_name,provider,model_group,model_access_type,model_api_id,response,normalized_response,is_valid_category,elapsed_time,input_tokens,output_tokens,total_tokens,estimated_cost,error_message,timestamp
museo,datasets_md\museo\001_Lineamientos para la eliminación de documentos MNCR.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,instrumentostécnicosarchivísticos,,,31.27225579999504,,,,,,
museo,datasets_md\museo\002_Lineamientos para la transferencia de documentos al AC.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,informesdelabores,,,37.236779900005786,,,,,,
museo,datasets_md\museo\003_Lineamientos gestión de documentos MNCR.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,memorandos,,,19.1542754000111,,,,,,
museo,datasets_md\museo\004_Instructivo Cuadro de clasificación MNCR.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,instrumentostécnicosarchivísticos,,,17.940514099987922,,,,,,
museo,datasets_md\museo\40-2025 MN Sofía Irola Rojas.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,memorandos,,,0.9963696000049822,,,,,,
museo,datasets_md\museo\76-2025 MN Sofía Irola Rojas 1.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,memorandos,,,0.8242430000100285,,,,,,
museo,datasets_md\museo\AC-2024-I-001 informe agosto.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,informesdelabores,,,0.6828643000044394,,,,,,
museo,datasets_md\museo\AC-2024-O-001.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,solicitudesadministrativas,,,0.5719546999898739,,,,,,
museo,datasets_md\museo\AC-2024-O-002 Remision de diagnostico.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,informestécnicosproducidos,,,1.2804036999878008,,,,,,
museo,datasets_md\museo\AC-2024-O-003 Cised.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,memorandos,,,0.6020732999895699,,,,,,
museo,datasets_md\museo\ACT MNCR-DAF-AC-001-2024 Servicios Generales.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,informesdelabores,,,1.5877541999943787,,,,,,
museo,datasets_md\museo\ACT MNCR-DAF-AC-002-2024 Financiero Contable.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,memorandos,,,1.2706184999988182,,,,,,
museo,datasets_md\museo\AI-2024-As-10 Informacion sobre CISED.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,correspondencia,,,0.5299551999924006,,,,,,
museo,datasets_md\museo\ASISTENCIA- Sofía Irola-07MAR2025.md,,google/gemma-4-E2B-it,local,,local,google/gemma-4-E2B-it,solicitudesadministrativas,,,0.6522684000083245,,,,,,
